Hora,Azimut,Elevacion,Roll,Pitch,Iters
07:00,107.72,7.99,-81.62,-17.54,15
07:05,107.77,9.16,-80.39,-17.54,14
07:10,107.83,10.34,-79.15,-17.53,14
07:15,107.9,11.53,-77.91,-17.53,14
07:20,107.98,12.71,-76.66,-17.52,14
07:25,108.06,13.89,-75.42,-17.51,14
07:30,108.15,15.07,-74.18,-17.51,14
07:35,108.26,16.26,-72.93,-17.5,14
07:40,108.37,17.44,-71.69,-17.5,14
07:45,108.49,18.62,-70.44,-17.49,14
07:50,108.63,19.8,-69.19,-17.49,14
07:55,108.77,20.98,-67.95,-17.48,14
08:00,108.92,22.16,-66.7,-17.48,14
08:05,109.09,23.34,-65.45,-17.47,14
08:10,109.26,24.52,-64.21,-17.47,14
08:15,109.45,25.7,-62.96,-17.46,14
08:20,109.65,26.88,-61.71,-17.46,14
08:25,109.87,28.05,-60.46,-17.45,14
08:30,110.09,29.23,-59.22,-17.45,14
08:35,110.34,30.4,-57.97,-17.44,14
08:40,110.59,31.57,-56.72,-17.44,14
08:45,110.86,32.73,-55.47,-17.43,14
08:50,111.15,33.9,-54.23,-17.43,14
08:55,111.46,35.06,-52.98,-17.42,14
09:00,111.78,36.23,-51.73,-17.42,14
09:05,112.13,37.38,-50.48,-17.41,14
09:10,112.49,38.54,-49.23,-17.41,14
09:15,112.88,39.69,-47.99,-17.41,14
09:20,113.29,40.84,-46.74,-17.4,14
09:25,113.72,41.99,-45.49,-17.4,14
09:30,114.18,43.13,-44.24,-17.39,14
09:35,114.67,44.27,-42.99,-17.39,13
09:40,115.18,45.4,-41.75,-17.38,13
09:45,115.73,46.53,-40.5,-17.38,13
09:50,116.32,47.65,-39.25,-17.38,13
09:55,116.94,48.77,-38.0,-17.37,13
10:00,117.6,49.88,-36.75,-17.37,13
10:05,118.3,50.98,-35.5,-17.37,13
10:10,119.05,52.08,-34.26,-17.36,13
10:15,119.85,53.17,-33.01,-17.36,13
10:20,120.7,54.25,-31.76,-17.35,13
10:25,121.61,55.32,-30.51,-17.35,13
10:30,122.58,56.38,-29.26,-17.35,13
10:35,123.62,57.42,-28.02,-17.35,13
10:40,124.74,58.46,-26.77,-17.34,13
10:45,125.93,59.48,-25.52,-17.34,13
10:50,127.21,60.48,-24.27,-17.34,13
10:55,128.59,61.47,-23.02,-17.33,13
11:00,130.07,62.43,-21.78,-17.33,13
11:05,131.66,63.38,-20.53,-17.33,13
11:10,133.38,64.3,-19.28,-17.33,13
11:15,135.22,65.2,-18.03,-17.32,13
11:20,137.2,66.06,-16.78,-17.32,13
11:25,139.34,66.9,-15.53,-17.32,12
11:30,141.64,67.69,-14.29,-17.32,12
11:35,144.11,68.45,-13.04,-17.31,12
11:40,146.75,69.16,-11.79,-17.31,12
11:45,149.58,69.82,-10.54,-17.31,12
11:50,152.6,70.42,-9.29,-17.31,12
11:55,155.81,70.97,-8.05,-17.31,12
12:00,159.2,71.45,-6.8,-17.31,12
12:05,162.75,71.85,-5.55,-17.3,12
12:10,166.46,72.19,-4.3,-17.3,11
12:15,170.29,72.44,-3.05,-17.3,11
12:20,174.22,72.61,-1.81,-17.3,11
12:25,178.21,72.69,-0.56,-17.3,11
12:30,182.22,72.69,0.69,-17.3,11
12:35,186.2,72.6,1.94,-17.3,11
12:40,190.12,72.42,3.19,-17.3,11
12:45,193.94,72.16,4.43,-17.3,11
12:50,197.64,71.82,5.68,-17.3,12
12:55,201.18,71.41,6.93,-17.3,12
13:00,204.56,70.92,8.18,-17.29,12
13:05,207.75,70.37,9.43,-17.29,12
13:10,210.75,69.76,10.67,-17.29,12
13:15,213.57,69.1,11.92,-17.29,12
13:20,216.2,68.38,13.17,-17.29,12
13:25,218.65,67.63,14.42,-17.29,12
13:30,220.94,66.83,15.67,-17.29,12
13:35,223.06,65.99,16.92,-17.3,13
13:40,225.03,65.12,18.16,-17.3,13
13:45,226.87,64.22,19.41,-17.3,13
13:50,228.57,63.3,20.66,-17.3,13
13:55,230.15,62.35,21.91,-17.3,13
